"NeuronUID","SampleID","NeuronID","Neuron_Type","Soma_Region_Auto","Soma_Region_Refined","Soma_Region_Source","Soma_Side","Soma_Side_Inferred","Soma_NII_X","Soma_NII_Y","Soma_NII_Z","Soma_Phys_X","Soma_Phys_Y","Soma_Phys_Z","Total_Length","Terminal_Count","N_Ipsilateral","N_Contralateral","N_Laterality_Unknown","Laterality_Index","Soma_Side_Final","Soma_Region_Final","gou_auto","gou_cog","gou_emo","gou_memory","gou_motor","gou_sens"
"251637::071.swc","251637","071.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.724,213.4104,91.024,47181,53352.6,22756,64.3659999999999,2,2,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::072.swc","251637","072.swc","ITi","R-IAL","IAL","curated_251637","R","R",187.062,212.5496,91.956,46765.5,53137.4,22989,2645.22099999982,8,7,0,1,0,"R","IAL",0,0,0.541168533858285,0,0.322955950498225,0.13587551564349
"251637::073.swc","251637","073.swc","ITi","R-IAL","IAL","curated_251637","R","R",189.1536,213.4304,83.7672,47288.4,53357.6,20941.8,44.82,1,1,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::074.swc","251637","074.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.1564,213.9212,83.3152,47039.1,53480.3,20828.8,200.496999999999,4,4,0,0,0,"R","IAL",0,0,0.491048209641928,0,0,0
"251637::075.swc","251637","075.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.2768,213.6736,82.794,47069.2,53418.4,20698.5,93.1970000000013,3,2,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::076.swc","251637","076.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.7824,214.2172,83.5872,47195.6,53554.3,20896.8,236.329999999998,6,5,0,1,0,"R","IAL",0,0,0.521641118124436,0,0.478358881875564,0
"251637::077.swc","251637","077.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.5716,214.5752,83.582,47142.9,53643.8,20895.5,121.382000000002,4,3,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::078.swc","251637","078.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.36,214.9868,83.414,47090,53746.7,20853.5,192.536,4,4,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::079.swc","251637","079.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.4196,217.3644,81.7728,47604.9,54341.1,20443.2,26.7589999999999,2,2,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::080.swc","251637","080.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.2424,216.424,80.498,47560.6,54106,20124.5,98.7140000000012,4,3,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::081.swc","251637","081.swc","ITi","R-IAL","IAL","curated_251637","R","R",189.4536,214.73,84.9808,47363.4,53682.5,21245.2,118.846000000002,2,2,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::082.swc","251637","082.swc","ITi","R-IAL","IAL","curated_251637","R","R",186.8316,214.2708,80.6952,46707.9,53567.7,20173.8,926.121999999978,8,7,0,1,0,"R","IAL",0,0,0.664363474442244,0,0,0.335636525557756
"251637::083.swc","251637","083.swc","ITs","R-IAL","IAL","curated_251637","R","R",186.7256,213.912,80.3168,46681.4,53478,20079.2,489.061999999995,8,7,0,1,0,"R","IAL",0,0,0.296918578800577,0,0.48537436505477,0
"251637::084.swc","251637","084.swc","ITs","R-IAL","IAL","curated_251637","R","R",187.102,213.1056,79.382,46775.5,53276.4,19845.5,355.895999999993,5,4,0,1,0,"R","IAL",0,0,0.449326314589232,0,0.550673685410768,0
"251637::085.swc","251637","085.swc","ITs","R-IAL","IAL","curated_251637","R","R",188.7904,213.2528,79.5472,47197.6,53313.2,19886.8,1570.89599999993,8,7,0,1,0,"R","IAL",0,0,0.431035729261557,0,0.568964270738443,0
"251637::086.swc","251637","086.swc","ITi","R-IAL","IAL","curated_251637","R","R",188.9444,213.1272,80.1272,47236.1,53281.8,20031.8,27.5829999999999,1,1,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::087.swc","251637","087.swc","ITs","R-IAL","IAL","curated_251637","R","R",188.7648,215.4352,79.7552,47191.2,53858.8,19938.8,375.465999999995,7,6,0,1,0,"R","IAL",0,0,0.333540543011244,0,0.666459456988756,0
"251637::088.swc","251637","088.swc","ITi","R-IAL","IAL","curated_251637","R","R",190.5024,213.2748,79.458,47625.6,53318.7,19864.5,50.1060000000001,2,1,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::089.swc","251637","089.swc","ITi","R-IAL","IAL","curated_251637","R","R",189.9324,213.1136,79.774,47483.1,53278.4,19943.5,32.2989999999999,1,1,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::090.swc","251637","090.swc","ITi","R-IAL","IAL","curated_251637","R","R",189.8048,213.5948,80.5672,47451.2,53398.7,20141.8,105.332000000001,2,1,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::091.swc","251637","091.swc","ITi","R-IAL","IAL","curated_251637","R","R",192.0276,213.7896,85.8128,48006.9,53447.4,21453.2,1244.74399999997,12,11,0,1,0,"R","IAL",0,0,0.565913215640983,0,0.253038552494088,0
"251637::092.swc","251637","092.swc","ITi","R-IAL","IAL","curated_251637","R","R",192.8348,214.0632,85.8928,48208.7,53515.8,21473.2,302.761999999996,5,4,0,1,0,"R","IAL",0,0,0.48394584139265,0,0,0
"251637::093.swc","251637","093.swc","ITi","R-IAL","IAL","curated_251637","R","R",192.8732,214.496,86.2968,48218.3,53624,21574.2,198.193,5,4,0,1,0,"R","IAL",0,0,0.576860888144598,0,0.423139111855402,0
"251637::094.swc","251637","094.swc","ITi","R-IAL","IAL","curated_251637","R","R",193.4904,215.0448,85.572,48372.6,53761.2,21393,209.584999999999,4,3,0,1,0,"R","IAL",0,0,1,0,0,0
"251637::095.swc","251637","095.swc","ITi","R-IAL","IAL","curated_251637","R","R",186.5224,215.9384,80.776,46630.6,53984.6,20194,55.251,2,2,0,0,0,"R","IAL",0,0,1,0,0,0
"251637::096.swc","251637","096.swc","ITs","R-IDD5","IDD5","curated_251637","R","R",204.5724,182.2472,97.4288,51143.1,45561.8,24357.2,1083.19199999997,8,7,0,1,0,"R","IDD5",0,0,0.157790616418807,0,0.383472928948948,0.21278899245101
"251637::097.swc","251637","097.swc","ITs","R-IDD5","IDD5","curated_251637","R","R",204.3344,181.886,97.5112,51083.6,45471.5,24377.8,2306.12899999991,12,11,0,1,0,"R","IDD5",0,0,0,0.202225283458726,0.323958885238953,0.190293525484794
"251637::098.swc","251637","098.swc","ITs","R-IDD5","IDD5","curated_251637","R","R",204.4024,181.664,97.0592,51100.6,45416,24264.8,2799.44499999989,12,11,0,1,0,"R","IDD5",0,0,0,0,0.295915094286534,0.567294868404023
"251637::099.swc","251637","099.swc","ITi","R-IDD5","IDD5","curated_251637","R","R",205.4712,181.2192,97.5088,51367.8,45304.8,24377.2,172.574,3,3,0,0,0,"R","IDD5",0,0,0,0,0,0.630680538665946
"251637::100.swc","251637","100.swc","ITi","R-IDD5","IDD5","curated_251637","R","R",205.7788,180.6008,97.8128,51444.7,45150.2,24453.2,211.186999999999,2,1,0,1,0,"R","IDD5",0,0,0,0,0,0
"251637::101.swc","251637","101.swc","ITi","R-IDD5","IDD5","curated_251637","R","R",206.3316,180.2552,97.088,51582.9,45063.8,24272,34.512,1,1,0,0,0,"R","IDD5",0,0,0,0,0,0
"251637::102.swc","251637","102.swc","ITi","R-IDD5","IDD5","curated_251637","R","R",206.1832,179.872,96.784,51545.8,44968,24196,37.997,2,1,0,1,0,"R","IDD5",0,0,0,0,0,0
"251637::103.swc","251637","103.swc","ITs","R-IDD5","IDD5","curated_251637","R","R",206.6016,179.102,97.024,51650.4,44775.5,24256,1153.11099999996,4,3,0,1,0,"R","IDD5",0,0,0,0,0.362224581895407,0
"251637::104.swc","251637","104.swc","ITs","R-IDD5","IDD5","curated_251637","R","R",205.8384,178.3488,97.528,51459.6,44587.2,24382,3539.34899999974,15,14,0,1,0,"R","IDD5",0,0,0.0785873997106405,0,0.309632561309531,0.456380854447407
"251637::105.swc","251637","105.swc","ITi","R-IDD5","IDD5","curated_251637","R","R",208.4096,181.694,98.67,52102.4,45423.5,24667.5,780.294999999992,5,4,0,1,0,"R","IDD5",0,0,0,0,0,0.477567584185608
"251637::106.swc","251637","106.swc","ITi","R-IDD5","IDD5","curated_251637","R","R",207.9772,181.2208,97.1248,51994.3,45305.2,24281.2,567.303999999987,3,2,0,1,0,"R","IDD5",0,0,0,0,0,0.369937562255533
"251637::107.swc","251637","107.swc","ITi","R-IDD5","IDD5","curated_251637","R","R",208.4868,180.778,97.5632,52121.7,45194.5,24390.8,158.16,4,3,0,1,0,"R","IDD5",0,0,0,0,0,0.363561967690116
"251637::108.swc","251637","108.swc","ITi","R-IDD5","IDD5","curated_251637","R","R",208.5392,179.8288,97.8568,52134.8,44957.2,24464.2,411.167999999996,3,2,0,1,0,"R","IDD5",0,0,0,0,0,0.274387930782923
"251637::109.swc","251637","109.swc","ITi","R-IDD5","IDD5","curated_251637","R","R",208.8848,179.47,97.6368,52221.2,44867.5,24409.2,990.02299999998,6,5,0,1,0,"R","IDD5",0.421727184481993,0,0,0,0,0.25558974021487
"251637::110.swc","251637","110.swc","ITi","R-IDD5","IDD5","curated_251637","R","R",208.286,179.1632,97.846,52071.5,44790.8,24461.5,60.6169999999999,2,1,0,1,0,"R","IDD5",0,0,0,0,0,0
"251637::111.swc","251637","111.swc","ITi","R-IDD5","IDD5","curated_251637","R","R",209.2888,179.288,97.4112,52322.2,44822,24352.8,540.042999999988,3,2,0,1,0,"R","IDD5",0,0,0,0,0,0
"251637::112.swc","251637","112.swc","ITi","L-IDM","IDM","curated_251637","R","R",211.5384,178.426,95.54,52884.6,44606.5,23885,237.661999999998,2,1,0,1,0,"R","IDM",0,0,0,0,0,0
"251637::113.swc","251637","113.swc","ITi","R-IDD5","IDD5","curated_251637","R","R",209.9568,180.296,97.32,52489.2,45074,24330,16.482,2,1,0,1,0,"R","IDD5",0,0,0,0,0,0
"251637::114.swc","251637","114.swc","ITi","L-IDD5","IDD5","curated_251637","R","R",209.5244,185.2728,97.744,52381.1,46318.2,24436,446.951999999995,2,1,0,1,0,"R","IDD5",0,0,0,0,0,0
