I	J	Score	Match	NoMatch
189	95	1.06986e+10	55897.6	518094
127	104	2.59055e+10	31487.4	802886
84	199	9.70364e+09	27690.2	349679
30	49	2.46442e+09	92655.3	468231
67	194	1.25796e+10	17232.4	422093
195	189	3.44368e+09	169401	735549
193	86	2.04461e+10	40710.3	592690
156	174	2.7947e+09	27960.5	475565
192	131	1.45493e+10	53301.9	1.08756e+06
52	190	8.44406e+09	67245.4	380620
85	89	1.05359e+09	123145	437732
92	144	1.33664e+10	19858.8	345957
162	191	8.88761e+09	29261	669896
84	126	1.01658e+10	45107.4	280699
189	144	5.94952e+09	28825.3	446235
112	133	1.06915e+10	39825.2	249033
159	75	1.33286e+10	26445.6	338322
191	134	3.9021e+09	4582.05	280355
207	127	9.50568e+09	112779	959097
142	69	1.37083e+10	75473.2	392650
61	156	2.39404e+10	81023	723977
30	95	3.55425e+09	96268.4	423468
143	61	3.12079e+10	71416.8	1.03153e+06
83	159	1.75048e+10	100430	472625
67	36	2.31855e+09	12830.5	391636
104	73	4.63308e+09	81857.9	455320
84	210	1.11161e+10	31226.5	371040
78	145	1.78915e+10	26704.2	484819
92	5	3.52181e+09	68596.3	430605
21	52	5.92804e+09	95927.3	712336
189	5	1.58221e+10	63968.3	544477
52	49	2.80443e+09	55833.5	475266
6	128	4.0615e+10	51162.2	1.36872e+06
159	199	3.2605e+09	14216.3	379109
191	190	1.20395e+09	69455.7	274504
128	162	7.00712e+09	90316.7	911927
62	85	6.42038e+09	60893.1	903580
84	130	1.42067e+10	34349.1	356840
30	144	1.52894e+10	40543.7	380262
92	194	1.33589e+10	43023.6	451415
156	9	1.87355e+10	42704.1	487485
67	75	5.22193e+08	51626.4	319281
189	194	1.50815e+09	179666	424017
85	73	3.85445e+09	47496.3	504688
193	87	1.70223e+10	20285.4	623085
142	166	3.76964e+09	79963.9	410084
112	120	8.91852e+09	15224.5	229762
84	105	1.17432e+09	34880	288830
191	49	9.89781e+09	22857.5	404336
159	126	1.68702e+09	44153.6	297609
52	95	3.94492e+09	68435.6	421514
92	36	2.21223e+09	16070.3	443509
131	83	2.68376e+10	22206	787527
189	36	1.45043e+10	25092.3	543732
30	5	2.91403e+09	48656.4	505534
78	133	1.70796e+10	38888.7	459477
67	199	1.0178e+10	19621.8	379843
195	92	2.06784e+10	26682.3	769023
84	29	1.96824e+09	49868.4	311008
104	102	2.73325e+09	160122	404915
83	58	5.45877e+09	35082.7	550762
159	210	2.79247e+09	43181.7	375041
162	189	7.77379e+09	51250	835854
191	95	7.68155e+09	46661.5	339382
92	75	9.94474e+08	70379.4	355641
