Soma_NII_X,Soma_NII_Y,NeuronID,Soma_NII_Z,Soma_Side,Soma_Region,Soma_Region_clean
48.566,172.8328,453.swc,94.474,L,L-IDM,IDM
49.928,170.464,454.swc,93.904,L,L-IDM,IDM
51.052,169.934,455.swc,91.8832,L,L-IDM,IDM
51.1032,170.114,456.swc,92.104,L,L-IDM,IDM
52.73,171.028,457.swc,93.5568,L,L-IDM,IDM
52.972,173.736,458.swc,94.362,L,L-IDM,IDM
53.5,173.158,459.swc,91.086,L,L-IDM,IDM
53.6232,171.17,460.swc,92.4928,L,L-IDM,IDM
53.9608,170.27,461.swc,92.766,L,L-IDM,IDM
52.9728,171.472,462.swc,91.872,L,L-IDM,IDM
51.7928,171.146,463.swc,91.864,L,L-IDM,IDM
50.9728,173.256,464.swc,92.0592,L,L-IDM,IDM
51.0608,168.864,465.swc,94.5312,L,L-IDM,IDM
51.766,168.9352,466.swc,96.368,L,L-IDM,IDM
52.5072,168.4768,467.swc,97.3512,L,L-IDM,IDM
53.468,169.354,468.swc,97.0368,L,L-IDD5,IDD5
54.5568,170.696,469.swc,96.57,L,L-IDM,IDM
52.704,171.832,470.swc,96.1728,L,L-IDM,IDM
52.6312,171.0672,471.swc,97.782,L,L-IDM,IDM
77.4928,211.3912,472.swc,76.536,L,L-IAL,IAL
78.208,210.4168,473.swc,75.1672,L,L-IAL,IAL
81.02,210.1168,474.swc,73.7592,L,L-IAPM,IAPM
80.4,211.9072,475.swc,77.3888,L,L-IAPM,IAPM
79.5368,210.6632,476.swc,77.8928,L,L-IAPM,IAPM
78.73,211.118,477.swc,80.324,L,L-IAPM,IAPM
81.8072,212.0196,478.swc,82.5328,L,L-IAPM,IAPM
82.224,213.6916,479.swc,82.0888,L,L-IAPM,IAPM
81.794,213.7356,480.swc,81.546,L,L-IAPM,IAPM
81.6768,214.7564,481.swc,82.3552,L,L-IAPM,IAPM
79.6688,213.5468,482.swc,79.5888,L,L-IAPM,IAPM
78.4488,213.5636,483.swc,80.2608,L,L-IAPM,IAPM
77.346,213.0968,484.swc,79.248,L,L-IAPM,IAPM
76.9448,212.2664,485.swc,79.2632,L,L-IAL,IAL
76.262,211.8712,486.swc,79.818,L,L-IAL,IAL
78.42,211.8992,487.swc,79.5752,L,L-IAL,IAL
77.9808,211.3288,488.swc,79.2272,L,L-IAL,IAL
74.7048,211.884,489.swc,78.3392,L,L-IAL,IAL
82.2552,212.5584,490.swc,78.572,L,L-IAPM,IAPM
81.4928,212.4096,491.swc,78.0832,L,L-IAPM,IAPM
81.354,211.998,492.swc,79.5872,L,L-IAPM,IAPM
80.426,210.7472,493.swc,80.6248,L,L-IAPM,IAPM
80.8568,211.5472,494.swc,78.5568,L,L-IAPM,IAPM
