NeuronID,SampleID,Neuron_Type,Soma_Region,hemisphere,subregion,soma_x,soma_y,soma_z
472.swc,251637,ITs,CL_Ial,left,agranular,77.4928,211.3912,76.536
473.swc,251637,CT,CL_Ial,left,agranular,78.208,210.4168,75.1672
474.swc,251637,ITs,CL_Ial,left,agranular,81.02,210.11679999999998,73.75919999999999
475.swc,251637,ITs,CL_Ial,left,agranular,80.4,211.90720000000002,77.3888
476.swc,251637,ITi,CL_Ial,left,agranular,79.5368,210.66320000000002,77.89280000000001
477.swc,251637,ITs,CL_Ial,left,agranular,78.73,211.118,80.324
478.swc,251637,ITs,CL_Iai,left,agranular,81.8072,212.0196,82.53280000000001
479.swc,251637,ITi,CL_Iai,left,agranular,82.224,213.6916,82.0888
480.swc,251637,ITi,CL_Iai,left,agranular,81.794,213.7356,81.546
481.swc,251637,ITi,CL_Iai,left,agranular,81.6768,214.75639999999999,82.3552
482.swc,251637,ITs,CL_Iai,left,agranular,79.6688,213.5468,79.5888
483.swc,251637,ITi,CL_Iai,left,agranular,78.4488,213.5636,80.2608
484.swc,251637,ITs,CL_Iai,left,agranular,77.346,213.0968,79.248
485.swc,251637,ITi,CL_Ial,left,agranular,76.9448,212.2664,79.2632
486.swc,251637,ITi,CL_Ial,left,agranular,76.262,211.87120000000002,79.818
487.swc,251637,ITi,CL_Ial,left,agranular,78.42,211.8992,79.5752
488.swc,251637,ITi,CL_Ial,left,agranular,77.9808,211.3288,79.2272
489.swc,251637,PT,CL_Ial,left,agranular,74.7048,211.884,78.33919999999999
490.swc,251637,ITs,CL_Iai,left,agranular,82.2552,212.5584,78.572
491.swc,251637,ITs,CL_Iai,left,agranular,81.4928,212.4096,78.08319999999999
492.swc,251637,ITs,CL_Iai,left,agranular,81.354,211.998,79.5872
493.swc,251637,ITs,CL_Ial,left,agranular,80.426,210.74720000000002,80.62480000000001
494.swc,251637,ITi,CL_Iai,left,agranular,80.8568,211.5472,78.55680000000001
