"stratum","target_region","mean_L","mean_R","n_L","n_R","LI","p_wilcox","p_BH","significant","abs_LI","direction","receipt_class"
"region_IAL","Rt@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","SMA/preSMA@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","IMed@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","PCgG@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","area_7m@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","ACC@L3",0.00512670780658975,0,21,117,0.999998049434282,0.0192727382509545,0.0697377951331337,FALSE,0.999998049434282,"L > R","one_side_only_or_extreme"
"region_IAL","dlPFC@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","MMid@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","PHy@L3",0.00458696169170275,0,21,117,0.999997819912423,0.0192727382509545,0.0697377951331337,FALSE,0.999997819912423,"L > R","one_side_only_or_extreme"
"region_IAL","PrT@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","DMid@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","GThal@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","belt@L3",0.00336463227632444,0,21,117,0.999997027915844,0.0192727382509545,0.0697377951331337,FALSE,0.999997027915844,"L > R","one_side_only_or_extreme"
"region_IAL","area_8A@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","MST@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","STGc@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","LMid@L3",0.00494966178759023,0,21,117,0.99999797966402,0.0192727382509545,0.0697377951331337,FALSE,0.99999797966402,"L > R","one_side_only_or_extreme"
"region_IAL","DMed@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","core@L3",0.0029768969015406,0,21,117,0.999996640808621,0.0192727382509545,0.0697377951331337,FALSE,0.999996640808621,"L > R","one_side_only_or_extreme"
"region_IAL","med_OFC@L3",0.00304472256856215,0,21,117,0.999996715639297,0.0192727382509545,0.0697377951331337,FALSE,0.999996715639297,"L > R","one_side_only_or_extreme"
"region_IAL","V4@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","paraHipp@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","V6/V6A@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","V2-V3@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","MT@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","V1@L3",0,0,21,117,0,NA,NA,FALSE,0,"L > R","one_side_only_or_extreme"
"region_IAL","Ial@L6",0.289449580682046,0.215036870486498,21,117,0.147501897321853,0.0374582316522629,0.123077046857435,FALSE,0.147501897321853,"L > R","bilateral_receiving"
"region_IAL","Iai@L6",0.0924777938442265,0.0810762232431569,21,117,0.0656946473234466,0.254156273362468,0.584559428733677,FALSE,0.0656946473234466,"L > R","bilateral_receiving"
"region_IAL","Iapl@L6",0.00487960274711962,0.0180133523474629,21,117,-0.573702425442972,0.967682716933591,0.967682716933591,FALSE,0.573702425442972,"R > L","bilateral_receiving"
