"stratum","target","hier","target_id","family","n_L","n_R","frac_L","frac_R","mean_L","mean_R","cliffs_delta","p_pres","p_mag","p_pres_BH","p_mag_BH","best_q","direction"
"IDD5_plus_IDM_balanced","MThal","L3","MThal@L3","extra_insula",81,68,0.0617283950617284,0,0.00810332827005956,0,0.0617283950617284,0.0630302199274736,0.0384005701074024,0.247439149728592,0.172802565483311,0.172802565483311,"L>R"
"all_combined","Str","L3","Str@L3","extra_insula",121,185,0.272727272727273,0.183783783783784,0.0550700145907612,0.0482964169620719,0.0723252177797632,0.0892782197962344,0.139551692382808,0.173857585918983,0.206536504726556,0.173857585918983,"L>R"
"IDD5_plus_IDM_balanced","Iai","L6","Iai@L6","intra_insula",81,68,0.037037037037037,0,0.00339823633173863,0,0.037037037037037,0.250680210411754,0.111860278967731,0.485069252920581,0.186433798279552,0.186433798279552,"L>R"
"IDD5_balanced","vlPFC","L3","vlPFC@L3","extra_insula",34,36,0.147058823529412,0.0277777777777778,0.0233341797713433,0.00593058877206704,0.116830065359477,0.101512504367793,0.0857470840710377,0.26245348236634,0.193043783863067,0.193043783863067,"L>R"
"IDD5_balanced","TG","L3","TG@L3","extra_insula",34,36,0,0.0833333333333333,0,0.0112137075464245,-0.0833333333333333,0.239751552795031,0.0908441335826198,0.479503105590062,0.193043783863067,0.193043783863067,"R>L"
"all_combined","SI","L3","SI@L3","extra_insula",121,185,0.00826446280991736,0.0324324324324324,0.000588464676486013,0.0065305550670987,-0.0243466607102971,0.251031221676133,0.165177707699421,0.344005748222849,0.218270542317092,0.218270542317092,"R>L"
"all_combined","THy","L3","THy@L3","extra_insula",121,185,0,0.0162162162162162,0,0.00243728289100082,-0.0162162162162162,0.280456444873031,0.16106590762236,0.357823740010419,0.218270542317092,0.218270542317092,"R>L"
"all_combined","lat_IPS","L3","lat_IPS@L3","extra_insula",121,185,0,0.0162162162162162,0,0.0011397634372665,-0.0162162162162162,0.280456444873031,0.16106590762236,0.357823740010419,0.218270542317092,0.218270542317092,"R>L"
"IDD5_plus_IDM_balanced","caudal_OFC","L3","caudal_OFC@L3","extra_insula",81,68,0.111111111111111,0.0294117647058824,0.0212780109277258,0.00865926901012154,0.0798838053740015,0.0666182326192362,0.0650102629648004,0.247439149728592,0.219830192650241,0.219830192650241,"L>R"
"IDD5_plus_IDM_balanced","VThal","L3","VThal@L3","extra_insula",81,68,0.0493827160493827,0,0.00938753947756852,0,0.0493827160493827,0.125665561578825,0.0651348718963676,0.408413075131183,0.219830192650241,0.219830192650241,"L>R"
"all_combined","pAmy","L3","pAmy@L3","extra_insula",121,185,0.0909090909090909,0.0486486486486487,0.00839512845007093,0.00954171027206432,0.0388206388206388,0.160612930798884,0.180688369431406,0.228564555367642,0.230533436860759,0.228564555367642,"R>L"
"IDM_balanced","floor_of_ls","L3","floor_of_ls@L3","extra_insula",47,32,1,1,0.68384110835299,0.791489703374498,-0.185505319148936,NA,0.136741157922027,NA,0.287133053679609,0.287133053679609,"R>L"
"IDM_balanced","pAmy","L3","pAmy@L3","extra_insula",47,32,0.0212765957446809,0.125,0.00106353626711956,0.0312347708583599,-0.106382978723404,0.151988140662358,0.0599519499764053,0.476035919073894,0.287133053679609,0.287133053679609,"R>L"
"IDM_balanced","vlPFC","L3","vlPFC@L3","extra_insula",47,32,0.106382978723404,0,0.0258120613141482,0,0.106382978723404,0.0769967318934675,0.0599519499764054,0.476035919073894,0.287133053679609,0.287133053679609,"L>R"
"IDM_balanced","MThal","L3","MThal@L3","extra_insula",47,32,0.0851063829787234,0,0.0128140723987302,0,0.0851063829787234,0.14264549574343,0.0950968396037224,0.476035919073894,0.287133053679609,0.287133053679609,"L>R"
"IDM_balanced","area_7_in_IPL","L3","area_7_in_IPL@L3","extra_insula",47,32,0.0851063829787234,0,0.0179166385623076,0,0.0851063829787234,0.14264549574343,0.0950968396037224,0.476035919073894,0.287133053679609,0.287133053679609,"L>R"
"IDM_balanced","belt","L3","belt@L3","extra_insula",47,32,0.0851063829787234,0,0.0200611311635986,0,0.0851063829787234,0.14264549574343,0.0950968396037224,0.476035919073894,0.287133053679609,0.287133053679609,"L>R"
"IDM_balanced","VThal","L3","VThal@L3","extra_insula",47,32,0.0638297872340425,0,0.013065734640264,0,0.0638297872340425,0.267770204479065,0.15201161665391,0.476035919073894,0.287133053679609,0.287133053679609,"L>R"
"IDM_balanced","PThal","L3","PThal@L3","extra_insula",47,32,0.0638297872340425,0,0.0166656224017384,0,0.0638297872340425,0.267770204479065,0.15201161665391,0.476035919073894,0.287133053679609,0.287133053679609,"L>R"
"IDM_balanced","STGc","L3","STGc@L3","extra_insula",47,32,0.0638297872340425,0,0.0128925167125961,0,0.0638297872340425,0.267770204479065,0.15201161665391,0.476035919073894,0.287133053679609,0.287133053679609,"L>R"
"IDD5_plus_IDM_balanced","Pi","L6","Pi@L6","intra_insula",81,68,0.0740740740740741,0.0294117647058824,0.0130598868341635,0.00511792208080247,0.0442992011619463,0.291041551752348,0.235855289981411,0.485069252920581,0.294819112476764,0.294819112476764,"L>R"
