"NeuronUID","SampleID","Region","Side","ap_y","ml_x","total_ipsi","total_contra","has_any_contra","Ibias"
"251637::452.swc",251637,"IDM","L",174.5272,50.234,763.594999999991,0,FALSE,-1
"251637::453.swc",251637,"IDM","L",172.8328,48.566,101.627000000001,0,FALSE,-1
"251637::454.swc",251637,"IDM","L",170.464,49.928,241.418000000002,0,FALSE,-1
"251637::455.swc",251637,"IDM","L",169.934,51.052,67.0450000000003,0,FALSE,-1
"251637::456.swc",251637,"IDM","L",170.114,51.1032,148.380000000001,0,FALSE,-1
"251637::457.swc",251637,"IDM","L",171.028,52.73,692.598000000001,0,FALSE,-1
"251637::458.swc",251637,"IDM","L",173.736,52.972,14.82,0,FALSE,-1
"251637::459.swc",251637,"IDM","L",173.158,53.5,158.688,0,FALSE,-1
"251637::460.swc",251637,"IDM","L",171.17,53.6232,20.412,0,FALSE,-1
"251637::461.swc",251637,"IDM","L",170.27,53.9608,136.187000000002,0,FALSE,-1
"251637::462.swc",251637,"IDM","L",171.472,52.9728,15.341,0,FALSE,-1
"251637::463.swc",251637,"IDM","L",171.146,51.7928,107.116,0,FALSE,-1
"251637::464.swc",251637,"IDM","L",173.256,50.9728,62.1199999999999,0,FALSE,-1
"251637::465.swc",251637,"IDM","L",168.864,51.0608,112.069000000001,0,FALSE,-1
"251637::466.swc",251637,"IDM","L",168.9352,51.766,63.004,0,FALSE,-1
"251637::467.swc",251637,"IDM","L",168.4768,52.5072,90.835,0,FALSE,-1
"251637::468.swc",251637,"IDD5","L",169.354,53.468,43.3589999999999,0,FALSE,-1
"251637::469.swc",251637,"IDM","L",170.696,54.5568,170.150000000001,0,FALSE,-1
"251637::470.swc",251637,"IDM","L",171.832,52.704,29.948,0,FALSE,-1
"251637::471.swc",251637,"IDM","L",171.0672,52.6312,106.339000000001,0,FALSE,-1
"251637::472.swc",251637,"IAL","L",211.3912,77.4928,1795.70699999999,0,FALSE,-1
"251637::473.swc",251637,"IAL","L",210.4168,78.208,258.736000000002,0,FALSE,-1
"251637::474.swc",251637,"IAPM","L",210.1168,81.02,691.589999999993,0,FALSE,-1
"251637::475.swc",251637,"IAPM","L",211.9072,80.4,2390.07899999999,0,FALSE,-1
"251637::476.swc",251637,"IAPM","L",210.6632,79.5368,1635.34899999999,0,FALSE,-1
"251637::477.swc",251637,"IAPM","L",211.118,78.73,751.452000000002,0,FALSE,-1
"251637::478.swc",251637,"IAPM","L",212.0196,81.8072,1948.164,0,FALSE,-1
"251637::479.swc",251637,"IAPM","L",213.6916,82.224,284.513999999997,0,FALSE,-1
"251637::480.swc",251637,"IAPM","L",213.7356,81.794,174.178000000001,0,FALSE,-1
"251637::481.swc",251637,"IAPM","L",214.7564,81.6768,895.512000000001,0,FALSE,-1
"251637::482.swc",251637,"IAPM","L",213.5468,79.6688,609.908999999997,0,FALSE,-1
"251637::483.swc",251637,"IAPM","L",213.5636,78.4488,496.964999999999,0,FALSE,-1
"251637::484.swc",251637,"IAPM","L",213.0968,77.346,86.9199999999999,0,FALSE,-1
"251637::485.swc",251637,"IAL","L",212.2664,76.9448,46.7099999999999,0,FALSE,-1
"251637::486.swc",251637,"IAL","L",211.8712,76.262,54.8759999999999,0,FALSE,-1
"251637::487.swc",251637,"IAL","L",211.8992,78.42,30.392,0,FALSE,-1
