"Region","target","hier","target_id","n_total","n_L","n_R","frac_combined","frac_L","frac_R","mean_combined","mean_L","mean_R","cliffs_delta","p_pres","p_mag","p_pres_BH","p_mag_BH","inferential"
"IDM","VPal","L3","VPal@L3",79,47,32,0.0253164556962025,0.0212765957446809,0.03125,0.0030695629286818,0.00330705048397457,0.00272075308184553,-0.00930851063829787,1,0.81145826304913,1,0.81145826304913,TRUE
"IDM","Str","L3","Str@L3",79,47,32,0.151898734177215,0.170212765957447,0.125,0.0430147075654812,0.0472201043124237,0.0368380310934093,0.0452127659574468,0.752686469628934,0.592164432128472,0.87813421456709,0.690858504149884,TRUE
"IDM","MThal","L3","MThal@L3",79,47,32,0.0506329113924051,0.0851063829787234,0,0.00762356206000407,0.0128140723987302,0,0.0851063829787234,0.14264549574343,0.0950968396037224,0.456706036891129,0.321468732454095,TRUE
"IDM","MLThal","L3","MLThal@L3",79,47,32,0,0,0,0,0,0,0,NA,NA,NA,NA,TRUE
"IDM","VMid","L3","VMid@L3",79,47,32,0.0253164556962025,0,0.0625,0.00269683993676407,0,0.00665782359388629,-0.0625,0.160986692632262,0.087912113956484,0.456706036891129,0.321468732454095,TRUE
"IDM","VMed","L3","VMed@L3",79,47,32,0,0,0,0,0,0,0,NA,NA,NA,NA,TRUE
"IDM","VPons","L3","VPons@L3",79,47,32,0.0253164556962025,0,0.0625,0.00504219828796353,0,0.01244792702341,-0.0625,0.160986692632262,0.087912113956484,0.456706036891129,0.321468732454095,TRUE
"IDM","ZI-H","L3","ZI-H@L3",79,47,32,0.0506329113924051,0.0638297872340425,0.03125,0.00937096670547304,0.0147459464697218,0.00147646517673272,0.0345744680851064,0.64314433068597,0.502685706420355,0.87813421456709,0.682986279129577,TRUE
"IDM","Ig","L6","Ig@L6",79,47,32,0.215189873417722,0.276595744680851,0.125,0.0458323448041929,0.0595612342687675,0.0256680384030988,0.151595744680851,0.163109298889689,0.114810261590748,0.456706036891129,0.321468732454095,TRUE
"IDM","Pi","L6","Pi@L6",79,47,32,0.0886075949367089,0.106382978723404,0.0625,0.0169403995486361,0.021069635379738,0.0108755844217052,0.0438829787234043,0.694803185444128,0.51026001620642,0.87813421456709,0.682986279129577,TRUE
"IDM","Iam/Iapm","L6","Iam/Iapm@L6",79,47,32,0.0253164556962025,0.0212765957446809,0.03125,0.00223155114461863,0.00114655972958845,0.00382513228544422,-0.0106382978723404,1,0.783128430959328,1,0.81145826304913,TRUE
"IDV","caudal_OFC","L3","caudal_OFC@L3",3,3,0,0.666666666666667,0.666666666666667,NA,0.130231290510713,0.130231290510713,NA,NA,1,NA,1,NA,FALSE
"IDV","lat_OFC","L3","lat_OFC@L3",3,3,0,0.333333333333333,0.333333333333333,NA,0.052697668753911,0.052697668753911,NA,NA,1,NA,1,NA,FALSE
"IDV","med_OFC","L3","med_OFC@L3",3,3,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IDV","spAmy","L3","spAmy@L3",3,3,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IDV","pAmy","L3","pAmy@L3",3,3,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IDV","LPal","L3","LPal@L3",3,3,0,0.333333333333333,0.333333333333333,NA,0.0444407418206727,0.0444407418206727,NA,NA,1,NA,1,NA,FALSE
"IDV","VPal","L3","VPal@L3",3,3,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IDV","Str","L3","Str@L3",3,3,0,0.333333333333333,0.333333333333333,NA,0.0264089640521515,0.0264089640521515,NA,NA,1,NA,1,NA,FALSE
"IDV","MThal","L3","MThal@L3",3,3,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IDV","MLThal","L3","MLThal@L3",3,3,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IDV","VMid","L3","VMid@L3",3,3,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IDV","VMed","L3","VMed@L3",3,3,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IDV","VPons","L3","VPons@L3",3,3,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IDV","ZI-H","L3","ZI-H@L3",3,3,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IDV","Ig","L6","Ig@L6",3,3,0,0.333333333333333,0.333333333333333,NA,0.0398085145510551,0.0398085145510551,NA,NA,1,NA,1,NA,FALSE
"IDV","Pi","L6","Pi@L6",3,3,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,FALSE
"IDV","Iam/Iapm","L6","Iam/Iapm@L6",3,3,0,0.333333333333333,0.333333333333333,NA,0.0443025709093436,0.0443025709093436,NA,NA,1,NA,1,NA,FALSE
