"target","side","ap","prop","Region"
"Ig","R",184.1112,0,"IDM"
"Ig","R",185.5872,0,"IDM"
"Ig","R",185.988,0,"IDM"
"Ig","R",182.312,0,"IDM"
"Ig","R",182.5912,0,"IDM"
"Ig","R",182.362,0,"IDM"
"Ig","R",181.5008,0,"IDM"
"Ig","R",180.49,0.158869215252536,"IDM"
"Ig","R",183.3368,0,"IDD5"
"Ig","R",183.594,0,"IDD5"
"Ig","R",184.6392,0,"IDD5"
"Ig","R",185.1112,0,"IDD5"
"Ig","R",184.5312,0,"IDD5"
"Ig","R",184.348,0,"IDD5"
"Ig","R",184.222,0,"IDM"
"Ig","R",183.4688,0.127184098835988,"IDM"
"Ig","R",182.542,0,"IDM"
"Ig","R",183.202,0,"IDD5"
"Ig","R",180.018,0,"IDM"
"Ig","R",179.3368,0,"IDM"
"Ig","R",179.1952,0,"IDM"
"Ig","R",179.116,0.261603091917325,"IDM"
"Ig","R",181.4848,0,"IDD5"
"Ig","R",183.1048,0,"IDD5"
"Ig","R",184.468,0,"IDD5"
"Ig","R",184.8968,0,"IDD5"
"Ig","R",184.13,0,"IDD5"
"Ig","R",181.772,0,"IDM"
"Ig","R",182.4168,0,"IDM"
"Ig","R",182.2488,0,"IDM"
"Ig","R",180.852,0,"IDM"
"Ig","R",180.8592,0,"IDM"
"Ig","R",179.6528,0,"IDM"
"Ig","R",181.8832,0,"IDM"
"Ig","R",182.8872,0,"IDM"
"Ig","R",181.0968,0.273720822893314,"IDM"
"Ig","R",181.3872,0,"IDM"
"Ig","R",181.034,0,"IDM"
"Ig","R",176.626,0,"IDM"
"Ig","R",181.826,0,"IDM"
"Ig","R",152.656,0.395751933497339,"IDD5"
"Ig","R",151.339,0.875623649577686,"IDD5"
"Ig","R",164.712,0.430662816466322,"IDD5"
"Ig","R",167.47,0.353983641320812,"IDD5"
"Ig","R",208.983,0,"IAL"
"Ig","R",209.9,0,"IAL"
"Ig","R",219.0492,0,"IAL"
"Ig","R",218.8489,0,"IAL"
"Ig","R",220.6792,0,"IAL"
"Ig","R",218.7842,0,"IAL"
"Ig","R",219.9139,0,"IAL"
"Ig","R",217.1767,0,"IAL"
"Ig","R",217.278,0,"IAL"
"Ig","R",218.5447,0,"IAL"
"Ig","R",218.1859,0,"IAL"
"Ig","R",219.3808,0,"IAL"
"Ig","R",211.459,0,"IAL"
"Ig","R",216.7038,0,"IAL"
"Ig","R",219.9862,0,"IAL"
"Ig","R",212.3912,0,"IAL"
"Ig","R",216.6004,0,"IAL"
"Ig","R",216.725,0,"IAL"
"Ig","R",218.2082,0,"IAL"
"Ig","R",218.5304,0,"IAL"
"Ig","R",218.5809,0,"IAL"
"Ig","R",218.9249,0,"IAL"
