"stratum","target","n_L","n_R","n_samples","frac_L","frac_R","mean_L","mean_R","median_pos_L","median_pos_R","p_presence","p_magnitude_overall","p_magnitude_conditional","direction","p_presence_BH","p_magnitude_overall_BH","p_magnitude_conditional_BH"
"IAL_251637","VThal",7,95,1,0,0.0105263157894737,0,0.00248297525526832,NA,0.235882649250491,1,0.816017650690092,NA,"R>L",1,0.816017650690092,NA
"IAL_251637","MThal",7,95,1,0,0.0210526315789474,0,0.00629267672501345,NA,0.298902144438139,1,0.72017429811697,NA,"R>L",1,0.816017650690092,NA
"IAL_251637","MLThal",7,95,1,0.142857142857143,0.0210526315789474,0.0698445757021479,0.00690956744617912,0.488912029915036,0.328204453693508,0.193855562026791,0.0637279070821727,NA,"L>R",1,0.254911628328691,NA
"IAL_251637","PThal",7,95,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_251637","GThal",7,95,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_251637","Rh",7,95,1,0,0.0105263157894737,0,0.00232508569763383,NA,0.220883141275214,1,0.816017650690092,NA,"R>L",1,0.816017650690092,NA
"IAL_251637","Rt",7,95,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","VThal",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","MThal",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","MLThal",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","PThal",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","GThal",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
"IAL_252385","Rh",11,20,1,0.181818181818182,0.05,0.00571046679354473,0.0126286626424234,0.031407567364496,0.252573252848467,0.281423804226919,0.295577477718658,NA,"R>L",1,0.295577477718658,NA
"IAL_252385","Rt",11,20,1,0,0,0,0,NA,NA,1,NA,NA,"R>L",1,NA,NA
